id,worker,scenario,paradigm,iteration,calcium_min,calcium_max,calories_min,calories_max,caloriesFromFat_min,caloriesFromFat_max,cholesterol_min,cholesterol_max,dietaryFiber_min,dietaryFiber_max,folate_min,folate_max,iron_min,iron_max,magnesium_min,magnesium_max,niacin_min,niacin_max,potassium_min,potassium_max,protein_min,protein_max,saturatedFat_min,saturatedFat_max,sodium_min,sodium_max,sugars_min,sugars_max,thiamin_min,thiamin_max,totalCarbohydrates_min,totalCarbohydrates_max,totalFat_min,totalFat_max,vitaminA_min,vitaminA_max,vitaminB6_min,vitaminB6_max,vitaminC_min,vitaminC_max,rating_min,rating_max,order1,order2,order3
40950,166,0.583,SortedBoolean,1,,,,2500,,,,,,,,,,,,,,,,,,,,,,1500,,,1.5,,,,,,,,,,,,3,,,,
40950,166,0.583,SortedBoolean,2,,,,2500,,,,,,,,,,,,,,,,,,,,,,1500,,,1.5,,,,,,,,,,,,5,,,,
40950,166,0.583,SortedBoolean,3,,,,2500,,,,,,,,,,,,,,,,,,,,,,1500,,,1.5,,,,,,,,,,,,4,,,,
40954,166,19.7433,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
40954,166,19.7433,Faceted,1,,,,,,,,,,,,,,,,,50,60,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
40954,166,19.7433,Faceted,2,,,,,,,,,,,,,,,,,50,60,,,,,,,,,,,4.0,,,,,,,,,,,,3.5,,,,
40954,166,19.7433,Faceted,3,,,,,,,,,,,1.3,1.5,,,,,50,60,,,,,,,,,,,2.5,3.0,,,,,,,,,,,,,,,
40954,166,19.7433,Faceted,4,,,,,,,,,,,1.3,1.5,,,,,50,60,,,,,,,,,,,2.5,3.0,,,,,,,,,,,3.5,,,,
40975,170,0.583,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,+thiamin,+sodium,+calories
40979,170,19.7433,EnhancedMAUT,0,,,,,,,,,,,200,,,,,,150,,,,,,,,,,,,120,,,,,,,,120,,,,,,,,
41010,180,6.6551,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
41012,180,7.5582,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
41012,180,7.5582,Faceted,1,,,,,,,,,,,,,,,,,,,,,120,140,,,,,,,,,,,,,,,,,,,4.0,,,,
41012,180,7.5582,Faceted,2,,,,,,,,,,,,,,,,,,,,,120,140,,,,,,,,,,,,,6000,9000,,,,,4.0,,,,
41012,180,7.5582,Faceted,3,,,,,,,,,,,,,,,,,,,,,120,140,,,,,,,,,,,,,6000,9000,,,100,125,4.0,,,,
41015,181,8.5668,Faceted,0,,,2000,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41017,181,7.5582,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,,100,,,,,,
